,acronym,meaning_wiktionary,meaning_pdf,meaning_any
630,"רמ""ח",TODO,"['רשמת מוח חשמלית ]הגו: רמ""ח; ראו גם ]EEG']",True
631,"רמ""ט",TODO,"['ראש מטה ]ראו CofS ,COS וגם ;]C/S', 'ראש מספן המטה;', 'ראש להק המטה']",True
632,"רמ""ס",TODO,['רמת סיכון'],True
633,"רמ""פ",TODO,['רמת פעילות'],True
634,"רמ""ק",TODO,['רמקול קטן'],True
635,"רמטכ""ל",TODO,['ראש המטה הכללי ]ראו גם ]CGS'],True
636,"רמכ""א",TODO,"['ראש מספן כוח־האדם ;', 'ראש מחלקת כוח־האדם']",True
637,"רמשל""ק",TODO,['ראש מוצב שליטה קדמי'],True
638,"רנ""ג",TODO,['רב־נגד ]ראו גם ]CSM'],True
639,"רנ""מ",TODO,,True
640,"רס""ב",TODO,['רב־סמל בכיר ]ראו גם ]SGM'],True
641,"רס""ג",TODO,['רב־סמל גדודי ]ראו גם ]RSM 205'],True
642,"רס""ל",TODO,"['רב־סמל ]ראו גם ;]SFC', 'רב־סמל סוללתי']",True
643,"רס""ם",TODO,['רב־סמל מתקדם'],True
644,"רס""ן",TODO,['רב־סרן'],True
645,"רס""פ",TODO,['רב־סמל פלוגתי ]ראו גם ]CSM'],True
646,"רס""ר",TODO,['רב־סמל ראשון'],True
647,"רע""ל",TODO,,True
648,"רע""ם",TODO,"['ריענון ערכות מגן;', 'רפואה עורפית מתקדמת;', 'רימון רסס, עשן, מטען;', 'רש""ק  עתיר משקל;', 'הרפובליקה הערבית המאוחדת ']",True
649,"רע""ן",TODO,['ראש ענף'],True
650,"רפא""ל",TODO,"['הרשות לפיתוח אמצעי לחימה ]משהפכה \'רפא""ל\' לחברה ממשלתית, כותבים את שמה בלי גרשיים: רפאל ומשמע השם: מערכות לחימה מתקדמות בע""ם']",True
651,"רצ""ר",TODO,,True
652,"רק""ם",TODO,"['רכב־קרב משוריין ]הגו: רק""ם ; ראו ACV וגם ;]AFV', 'רכב קרמי ממוכן']",True
653,"רק""מ",TODO,,True
654,"רק""ק",TODO,['רקטת קרקע־קרקע'],True
655,"ררנ""ט",TODO,['רומה־רובה נגד־טנקים'],True
656,"רת""ח",TODO,['ריכוז תחזוקה חטיבתי'],True
657,"רת""ם",TODO,"['רשת תקשורת מקומית ]הגו: רת""ם; ראו גם ;]LAN', 'רשת תקשורת מרחבית ]ראו גם ]WAN']",True
658,"רתל""ם",TODO,,True
659,"ש""ג",TODO,"['שוטר גדודי ;', 'שומר גבול;', 'שומר גדר']",True
660,"ש""כ",TODO,"['שירות כללי;', 'שימוש כללי ;', 'שירותים כימיים;', 'השירות הכללי ']",True
661,"ש""צ",TODO,"['שוטר צבאי ;', 'שירות צבאי']",True
662,"שבו""ז",TODO,,True
663,"שבצ""ק",TODO,['שיבוץ קרבי'],True
664,"שבצ""ר",TODO,,True
665,"שד""מ",TODO,,True
666,"שו""ב",TODO,"['שליטה ובקרה;', 'שולחן בד;', 'שירותים ובירורים']",True
667,"שו""ס",TODO,['שותף סוד '],True
668,"שו""ש",TODO,"['שגר ושכח ]ראו גם ;]F&F', 'שינוי  ושיפור']",True
669,"שוה""ם",TODO,"['שיווק והעתקת מחנות צה""ל;', 'שירות התשלומים הממשלתי']",True
670,"שח""מ",TODO,['שטח חי או מת'],True
671,"שח""ע",TODO,"['\'שפנפן\' חד־עיני ]הגו: שח""ע; כינוי למשקפת חד־עינית לראיית לילה']",True
672,"שח""ר",TODO,"['שדה חירום;', 'שלישות, חילות, זרועות;', 'שילוב חרדים שח""ר של""י שלישות, חילות וזרועות, שלישות היחידה']",True
673,"שכ""ט",TODO,['שכר טרחה'],True
674,"שכפ""ץ",TODO,"['שכבת פיצוץ ]הבחינו בין המונח ההנדסי לבין הלבוש אפוד מגן של שלישות ]ראו: משא""ן']",True
675,"שכפו""ד",TODO,"['שכפ""ץ ואפוד']",True
676,"של""ג",TODO,[' שלום הגליל'],True
677,"של""ת",TODO,['שירות ללא־תשלום'],True
678,"שמ""פ",TODO,['שירות מילואים פעיל'],True
679,"שס""נ",TODO,,True
680,"שפצ""ר",TODO,,True
681,"שפצו""ר",TODO,,True
682,"שק""ל",TODO,['שירות קנטינה לפרט'],True
683,"שק""ם",TODO,"['שירות קנטינות ומזנונים ]הכתיב התקין כיום – בלי גרשיים: שקם; השם שקם הוא שמה של חברה פרטית, ובשנים האחרונות בצה""ל חנויות השקם מכונות כוורת; ראו: שק""ל']",True
684,"שק""מ",TODO,,True
685,"שק""ש",TODO,['שק שינה 216'],True
686,"ת""א",TODO,"['תיק אישי;', 'תשתיות אפליקטיביות ;', 'תשתיות ארגוניות;', 'תוכנית אש ;', 'תביעה אזרחית;', 'תוכניות אחזקה;', 'ת חבושת אישית;', 'תל אביב־יפו;', 'תיק אזרחי;', 'תת־אדום ;', 'תחבורה אישית']",True
687,"ת""ס",TODO,"['תרגילי סדר;', 'תכנון סדנאות']",True
688,"ת""פ",TODO,['תחת־פיקוד ]הגו: תיו־פא; ראו גם ]OPCON'],True
689,"ת""ש",TODO,"['תנאי שירות;', 'תדר שמע  ]ראו גם ]AF']",True
690,"תא""ל",TODO,['תת־אלוף'],True
691,"תא""ס",TODO,"['תכנון אסטרטגי ;', 'תקשורת אסטרטגית ']",True
692,"תאג""ד",TODO,['תחנת איסוף  גדודית ]ראו גם ]BAS'],True
693,"תב""ן",TODO,['תקופה בלתי־נמנית'],True
694,"תד""ח",TODO,,True
695,"תד""ל",TODO,"['תרמיל דרך לקרב ;', 'תובלת הדרג הלוחם']",True
696,"תו""ל",TODO,['תורת לחימה'],True
697,"תו""ת",TODO,"['תכנון ותקציבים;', 'תורות ותפיסות;', 'תשתיות ותקשורת;', 'תכנון ותשתית 222']",True
698,"תוד""א",TODO,['תודעת אויב '],True
699,"תול""ר",TODO,['תותח ללא־רתע 221'],True
700,"תומ""ל",TODO,['תומכי לחימה '],True
701,"תומ""ת",TODO,['תותח מתנייע'],True
702,"תומכ""ל",TODO,['תומכי לחימה '],True
703,"תח""ש",TODO,"['תורת חיל השריון ;', 'תנועה חשודה']",True
704,"תמ""מ",TODO,,True
705,"תמ""ק",TODO,"['תת־מקלע ]לא מקלע; ראו גם ;]SMG', 'תשעונית מבד""ק ;', 'תשתיות מחשוב קריטיות;', 'תכנון מצבות קבע']",True
706,"תס""ח",TODO,['תרגול־סדר חמוש'],True
707,"תע""א",TODO,"['התעשייה האווירית לישראל בע""ם']",True
708,"תע""ש",TODO,['התעשייה הצבאית ]כיום כותבים: תעש; ראו גם ]IAI'],True
709,"תצ""א",TODO,"['תצלום אוויר ]הגו: תצ""א; ברבים: תצ""אות; ראו גם ]AP']",True
710,"תצ""ר",TODO,['התובע הצבאי הראשי תק תקשורת ]ראו גם ]COMM'],True
711,"תקשו""ב",TODO,"['תקשורת ומחשוב ]הכתיב התקין בלי גרשיים: תקשוב', 'תקשורת, שליטה ובקרה ]הכתיב התקין בלי גרשיים: תקשוב']",True
712,"תר""ש",TODO,['תוכנית רב־שנתית'],True
713,"תרג""ד",TODO,['תרגיל גדודי'],True
714,"תשמ""ש",TODO,"['תשלומי משפחה;', 'תא שליטה למשימות משולבים']",True
715,"תת""ש",TODO,['תאריך תום שירות'],True
716,"תתל""ג",TODO,['תרגיל תאורטי ללא־גייסות'],True
717,א/,,"['קידומת למספרו האישי של חייל ששירות החובה שלו  נדחה', 'קידומת למספרו הצבאי של חייל בעתודה האקדמית']",True
718,א,,"['איכות ואמינות;', 'אלקטרואופטיקה, אלקטרואופטי;', 'אחוז האיוש;', ""'אבני אש';"", 'האיחוד האירופי;', 'אנרגייה אטומית']",True
719,"אא""ג",,"['אף, אוזן, גרון ']",True
720,"אאו""פ",,['אלקטרואופטי '],True
721,"אא""כ",,['אלא אם כן'],True
722,"אאל""א",,['הארגון האיראני לאנרגייה אטומית'],True
723,"אא""פ",,['אלקטרואופטי '],True
724,"א""ב",,"['איתור בית;', 'איסור בנייה;', 'ארוחת בוקר 24']",True
725,"אב""א",,"['אבטחת איכות ]המונח התקני ה""א הבטחת איכות']",True
726,"אב""ג",,"['ארכיון המכון למורשת בן־גוריון;', 'אוניברסיטת בן־גוריון']",True
727,"אב""ד",,['אב־בית־דין'],True
728,"אבו""ש",,['אבעבועות שחורות'],True
729,"אב""י",,"[""'אבן יקרה' ""]",True
730,"אבי""ב",,"['איכות, בטיחות, ידע בו""ם ;', 'איכות, ביקורת, ידע מבצעי ובטיחות']",True
731,"אבי""ס",,['אבן יסוד'],True
732,"אבנ""ץ",,['אבני חפץ'],True
733,"אבנ""ש",,"[""'אבני אש'""]",True
734,"אבנ""ת",,['איסוף ובדיקה של נתוני אחזקה'],True
735,"אב""ס",,"['איכות, בטיחות וסביבה;', "" 'אבן ספיר' ]מסכת מגן נשימתית עם מפוח עזר""]",True
736,"אבש""ש",,['אבקת־שרפה שחורה אג ארגז ]יש ההוגים: אג'],True
737,"אגא""ס",,['אגף האסטרטגיה '],True
738,"אג""ז",,['אתר גזרתי '],True
739,"אג""ח",,['איגרות חוב'],True
740,"אג""ל",,['אגף מנהל'],True
741,"אג""נ",,['אדון או גברת נכבדים ]אל תקצרו לא בנקודה ולא בלוכסן: א./ ג.נ.; עדיף לכתוב: אדון או גברת נכבדים או נכבדיי'],True
742,"אג""ע",,['אסטרטגיה גרעינית־ערבית '],True
743,"אג""ר",,['אגף אוויר'],True
744,"אג""ש",,['אגף שיקום הנכים'],True
745,"א""ד",,"['אבן דרך ;', 'אלחוט דיבור']",True
746,"אד""א",,['אלף־דולר אמריקני'],True
747,"אד""ן",,"['אמ""ן  לדרג הנפרס']",True
748,"אד""ס",,['אזור דרום סיני'],True
749,"אד""ץ",,['אחזקת ציוד צבאי'],True
750,"אדר""ת",,"[""ארכיטקטורה דיגיטלית, רשת ותשתיות ארכיטקטורה' בעברית: אדריכלות; 'דיגיטלי בעברית: ספרתי""]",True
751,"אד""ש",,['אדר שני'],True
752,"א""ה",,['אגד הנדסה'],True
753,"אה""א",,['אחראי להבטחת איכות'],True
754,"אהח""מ",,['אני החתום מטה'],True
755,"אה""ל",,"[""אופיין הדרכה לסימולטור סימולטור' בעברית: מדמה"", 'איסוף והפקה של לקחים']",True
756,"אה""מ",,['ארכיון המדינה'],True
757,"אה""ס",,['איכות הסביבה '],True
758,"או""א",,['אם ורק אם'],True
759,"או""ב",,"['ארגון ובקרה;', 'איכות ובקרה']",True
760,"אוב""ק",,"['ארגון ובקרה  אוג', 'אוגדה או אוגדתי ]ראו גם ;]DIV', 'אוגוסט']",True
761,"אוה""ב",,"[""'אורות הבמה'""]",True
762,"אוה""ל",,['איסוף להפקת לקחים'],True
763,"או""ז",,['אורגני־זרחני אוט אוטומט או אוטומטי'],True
764,"או""י",,['אוכלוסייה ייחודית אוכ אוכלוסייה'],True
765,"אוכ""א",,['ארגון וכוח־אדם '],True
766,"או""ל",,['ארגון ולוגיסטיקה'],True
767,"או""מ",,['אוכלוסיות מיוחדות'],True
768,"או""ם",,['ארגון ומבצעים'],True
769,"אומ""ם",,"[' אפיון ותכנון של מערכות המידע ]ראו: תו""ב']",True
770,"אומ""ן",,['ארגון ומשאבי אנוש'],True
771,"אומ""ץ",,"['ארגון וניהול מרפאה צבאית;', 'איכות ומצוינות;', 'איתור ומיצוי ;', 'ארגון ומיכון מצל""ח )= מרכז ציוד הלחימה והחלפים']",True
772,"או""ן",,"['ארגון ונהלים ;', 'ארגון וניהול']",True
773,"אונדו""ף",,['ראו: UNDOF '],True
774,"אונסק""ו",,['ראו: UNESCO '],True
775,"אונר""א",,['ראו: UNRWA '],True
776,"אונרר""א",,['ראו: UNRRA  27'],True
777,"או""ס",,"['ארגון וסד""כ']",True
778,"אועפ""ק",,['ראו: OAPEC אופ אופרטיבי ]בעברית: מעשי; בר־ביצוע; מבצעי; מערכתי'],True
779,"או""פ",,"[""אינטרנט ופרויקטים ]'אינטרנט' בעברית: מרשתת, 'פרויקט' – מיזם"", 'אפיון ופיתוח אופט', 'אופטיקה;', 'אופטרוניקה']",True
780,"אופ""ץ",,['אופטיקה וצילום'],True
781,"אופ""ק",,['ראו: OPEC'],True
782,"אוצ""מ",,['אוצר מילים'],True
783,"אוצמ""ה",,"['אחזקה וניהול, צד""י , מרכזי אוק אוקטובר']",True
784,"או""ר",,"['ארגון ורשומת;', 'אוכלוסייה ורע""ם ']",True
785,"אור""ן",,['ארגון הרשומת והנהלים'],True
786,"או""ש",,"['ארגון ושיטות;', 'ארגון ושכר']",True
787,"אוש""ל",,['ארגון ושלישות'],True
788,"א""ז",,['אמצעי זיהוי'],True
789,"אזב""ט",,['אזור ביטחון '],True
790,"אזהב""ט",,['אזור ביטחון '],True
791,"אזה""ת",,['אזור התעשייה '],True
792,"אזוה""ת",,['אזור התעשייה '],True
793,"אזו""פ",,['אזור פיתוח '],True
794,"אז""ח",,['אזור זיהוי חבירה'],True
795,"אז""פ",,['אזור פיתוח '],True
796,"אז""ר",,['אויב זרק רימון'],True
797,"אזר""ם",,['אזרח מדומה'],True
798,"אזר""ע",,['אזור רצועת עזה'],True
799,"אז""ת",,['אזור התעשייה  אח אחזקה או אחזקתי 28'],True
800,"א""ח",,['אורך חיים'],True
801,"אחב""ט",,['אחראי ביטחון'],True
802,"אחג""ד",,['אח גדודי'],True
803,"אחה""א",,['ארכיון חיל האוויר'],True
804,"אחה""מ",,['אחרי המראה'],True
805,"אחו""כ",,['אחזקה וכיולים'],True
806,"אחו""ל",,['אחזקה וכיולים'],True
807,"אחו""ת",,"['אמצעים, חלפים ותשתיות']",True
808,"אחכ""ס",,"['אחראי לכתב סתרים;', 'אחראי לחדר כ""ס ']",True
809,"אח""ם",,"['אדם חשוב מאוד; אישיות חשובה מאוד גם אר""ם; ראו גם ;]VIP', 'אחזקה ומשק;', 'אורך חיים מוגדר;', 'אחזקת מפעלים;', 'אגף החקירות והמודיעין ']",True
810,"אחמ""ש",,"['אחראי משמרת;', 'איחוד משפחות']",True
811,"אחנ""ג",,['אזור חופשי מנשק גרעיני'],True
812,"אחנה""ה",,['אזור חופשי מנשק להשמדת המונים'],True
813,"אח""ס",,['האחים המוסלמים'],True
814,"אח""ק",,['אגף חקירות'],True
815,"אח""ר",,"['אבטחה, חפירה, רוחב']",True
816,"אח""ש",,['אחראי שידור'],True
817,"אחת""ם",,['אחראי לחומר־תקשוב מסווג'],True
818,"א""ט",,"['אב טיפוס;', 'ארוך־ט ווח ']",True
819,"אט""ה",,"['אירוע טרור המוני ;', 'אירוע טוקסיקולוגי המוני']",True
820,"אטו""ב",,['אגף הטכנולוגיה והתקשוב '],True
821,"אט""ח",,['איסור טיסות חיליות'],True
822,"אט""כ",,['איסור טיסות כנפיות'],True
823,"אט""ם",,['אין טיסות מתוכננות'],True
824,"אט""ן",,['אמבולנס טיפול נמרץ'],True
825,"אטנא""ם",,['אגד טכנולוגיה ואחזקה מרחבי 29'],True
826,"אט""ר",,"['אתר טיהור רק""ם ']",True
827,"א""י",,"['אגד ימ""חים ;', 'אוויר־ים;', ""'אבן יקרה' ;"", 'ארץ ישראל אי־אר־פי ראו: ERP ]אל תקצרו בנקודות: אי.אר.פי']",True
828,"איה""ס",,['איכות הסביבה '],True
829,"איו""ר",,['ארגון ורכב'],True
830,"איו""ש",,['אזור יהודה ושומרון'],True
831,"אי""ח",,['אימון יחידות'],True
832,"אי""ט",,['אימון יחידות טכנולוגי '],True
833,"איכה""ס",,['איכות הסביבה '],True
834,"איכו""ס",,['איכות הסביבה '],True
835,"איכ""ס",,"['איכות הסביבה ]גם איה""ס, איכה""ס, איכו""ס; בסימנים מוסכמים – בלי גרשיים']",True
836,"אי""ל",,"['אוכל ישר לחייל;', 'איסוף ייעודי לעומק ']",True
837,"איל""א",,"[""האיגוד הישראלי לעיבוד אינפורמציה אינפורמציה' בעברית: מידע""]",True
838,"איל""ת",,"['אירועים לתל""ם ']",True
839,"אימו""ד",,['אימונים ומודלים'],True
840,"אימינ""ט",,"['ראו: IMINT  אימ""ת, התנ""ק, חסמב""ה, אח""ר אש, ירי אלכסוני, מחסה, תצפות; הסתר תנועה, נוחות, קשר; חילופיות, סער מחפה ראש, בטיחות, הונאה אבטחה, התחפרות, רוחב']",True
841,"אינ""א",,"['אינפרה־אדום ]הגו: אינ""א; גם א""א; המונח התקני: תת־אדום אינט', 'אינטרקום ]המונח התקני: מקשר פנים מקש""פ', 'אינטרנט ;', 'אינטגרטיבי ']",True
842,"אינטרקו""ם",,"['ראו: מקש""פ]ראו גם ]INTERCOM']",True
843,"אי""ס",,['אבן יסוד'],True
844,"איפא""ק",,['ראו: AIPAC'],True
845,"איתו""ג",,['איתור וגילוי'],True
846,"איתמ""ר",,['אימון ותרגול של המפקדות הראשיות'],True
847,"אית""ן",,['איתור נעדרים'],True
848,"א""כ",,['אצטיל כולין'],True
849,"אכ""ל",,['אמצעי כינון לילה'],True
850,"אכמ""ל",,['אין כאן מקום להאריך'],True
851,"אכ""ס",,['אגף הכספים'],True
852,"אל""א",,['אמצעי לוחמה אלקטרונית  אלאו״ג אגד לוגיסטי אוגדתי'],True
853,"אלאו""פ",,['אלקטרואופטי'],True
854,"אל""ה",,"[""אלינט לכוחות היבשה ]'אלינט' בעברית: מודיעין אלקטרוני""]",True
855,"אלו""ג",,['אגד לוגיסטי '],True
856,"אלומ""ה",,['איתור לכודים מרחבי־המוני'],True
857,"אל""י",,"[""'אלון ירוק' ""]",True
858,"אל""ך",,['אמצעי לחימה כימית אלכס אלכסנדרייה'],True
859,"אל""מ",,['ארגון לא־ממשלתי ]ראו גם ]NGO'],True
860,"אלמ""ב",,['אלימות במשפחה'],True
861,"אלמ""ג",,['אלקטרומגנטי'],True
862,"אל""ף",,"[""אפיון לפורטל ]'פורטל' בעברית: פורטןכלומר פירוט המוצג במצג הכניסה למרשתת )= אינטרנט""]",True
863,"אלפ""ר",,['אלפיות רוסיות'],True
864,"אלפ""ש",,['אלפי מנשה אלק אלקטרוניקה'],True
865,"אל""ר",,['אלחוטן ראשי'],True
866,"אל""ת",,['אימון לפני תעסוקה מבצעית'],True
867,"אלת""ם",,['אלקטרוניקה תת־מימית'],True
868,"אמ""א",,['אגף משאבי האנוש  אמב אמבולנס'],True
869,"אמבו""ש",,"['אינטגרציה, מודיעין, ביצוע ושליטה אינטגרציה\' בעברית: תכלול; הגו: אמבו""ש']",True
870,"אמב""ט",,['איסוף מודיעין באמצעים טכניים'],True
871,"אמב""ס",,['אימון בסיסי'],True
872,"אמ""ג",,"['אש מגן ]ראו גם ;]DF', 'אפר מגופרת']",True
873,"אמה""ד",,['אמצעי הדרכה'],True
874,"אמה""ת",,['אמצעי התקשורת'],True
875,"אמו""ן",,"['אגף המבצעים, הלוגיסטיקה והנכסים 2-1 : במשהב""ט', 'האגף לאמרכלות, למשק ולנכסים']",True
876,"אמו""ס",,"['אבטחת מידע וסייבר ]\'סייבר\' בעברית: סב""ר, סביבת רשת']",True
877,"אמו""פ",,['אמצעי לחימה ופרויקטים '],True
878,"אמו""ץ",,['אימון צילום'],True
879,"אמו""ת",,['אימונים ותעסוקה '],True
880,"אמ""ז",,['אחראי מחשוב זירתי'],True
881,"אמ""ח",,"['אמצעי חזותי;', 'ארגון מחבלים;', 'אימון יחידות חילוץ']",True
882,"אמח""ז",,['אמצעי חזותי להצגת מידע'],True
883,"אמט""ך",,['אמצעי טכני'],True
884,"אמ""י",,['אימון יחידות '],True
885,"אמי""ת",,"['אמינות תחזוקתית;', 'אבטחת מידע ויישומי תקשורת;', 'אנליזה, מידע, ידע ותוכנה']",True
886,"אמכ""ס",,"[']דרך כתיבה שהייתה מקובלת לציון טנק אי־אם־ איקס־ 13 : כינוי לטנק צרפתי ששירת בצה""ל עד מלחמת ששת הימים']",True
887,"אמל""ט",,['אמריקה הלטינית 32'],True
888,"אמל""י",,['אימון מעצורים ללא ירי'],True
889,"אמל""ם",,['איסוף מודיעין לפני מבצע'],True
890,"אמל""ר",,['אמצעי ראיית לילה '],True
891,"אמל""ת",,['אמצעים לתחזוקה'],True
892,"אממ""ח",,['אימון מושתת־מחשב'],True
893,"אמנ""ט",,"['אימון ניווטים;', 'אמצעי נגד־טנקים ;', 'אזור מוכה נון־טית']",True
894,"אמ""ס",,['אמצעי סער'],True
895,"אמסל""ח",,['אמצעי סיוע ללחימה'],True
896,"אמס""פ",,['אמצעי סער לפריצה'],True
897,"אמ""ע",,['ארכיון מפלגת העבודה'],True
898,"אמ""ף",,['אפנון מופע'],True
899,"אמ""פ",,['אמצעי פריצה'],True
900,"אמצ""ג",,['אמצעי גישור'],True
901,"אמ""ק",,"['אימון מתקדם;', 'אזור מוכה-קומנדו']",True
902,"אמ""ר",,['אביזרים ומכשירים רפואיים'],True
903,"אמר""ל",,['אמצעי ראיית לילה '],True
904,"אמר""ש",,['אזור מוגן־רעש'],True
905,"אמ""ש",,['אגף משאבי האנוש '],True
906,"אמש""ט",,['איסוף מסמכים ושלל טכני'],True
907,"אמ""ת",,"['אמצעי תקשוב;', 'ארגון ותקינת מערכות תקשוב;', 'האגף למחקר ותיכון ;', 'אחזור מידע בתקשורת אמ""ת־הת""ן אש, מחסה, תצפות; הסתר, תנועה, נוחות']",True
908,"אמת""ק",,['אמצעי תקשוב אנ אנטנה ]בצירוף – יש ההוגים: אן־'],True
909,"א""נ",,"['אמצעי־נגד;', 'אימוני נחיתה;', 'אדון נכבד ]במכתב מוטב לכתוב: אדון נכבד; אל תקצרו בנקודות: א.נ 33']",True
910,"אנ""א",,['אמצעי־נגד אלקטרוניים '],True
911,"אנ""ה",,['ארגון וניהול הדרכה '],True
912,"אנו""ש",,"['אינטגרציה למערכות שו""ב אינטגרציה\' בעברית: תכלול אנט אנטנה ]בעברית: משושה; ראו גם ]ANT']",True
913,"אנ""ט",,['איתור נפילת טילים'],True
914,"אנ""מ",,['אדון נכבד מאוד'],True
915,"אנ""ם",,['ארגון וניהול של מלאי'],True
916,"אנ""נ",,['אמצעי נגד־נגד'],True
917,"אנסמב""ל",,"['איתור וניתוח של סוגיות מרכזיות בביטחון לאומי ]הגו: אנסמב""ל אנצ אנציקלופדיה']",True
918,"אנ""ק",,"['אימוני נשק קל;', 'אזרח עובד צה""ל, נגד, קצין המונח הנכון: עובד צה""ל']",True
919,"אנר""ט",,['איתור נפילות רקטות וטילים'],True
920,"אנ""ש",,['אנשי שלומנו'],True
921,"אנ""ת",,[' אימות נתונים  אס אזימוט ]ראו: אז'],True
922,"א""ס",,"['אזור סיכון;', 'אש סכנה אס־או־אס ראו: SOS אס־אם־אס ראו: SMS ]אל תקצרו בנקודות: אס.אמ.אס אס־אס ר""ת לצירוף הגרמני Schutz staffel , ומשמעו קבוצות אבטחה. כינוי לפלוגות הסער הנאציות שטבחו מיליוני יהודים; אל תכתבו: ס""ס או ס.ס']",True
923,"אס""ב",,['אין סוג ביטחון'],True
924,"אסה""ר",,"[""'אסף הרופא' ""]",True
925,"אס""ח",,['אתר סילוק חירום אסט אסטרטגיה או אסטרטגי'],True
926,"אס""י",,['אסטרטגיה ויוזמות '],True
927,"אס""כ",,['אי־ספיקת כליות'],True
928,"אס""ל",,"['אתר סיוע לאוכלוסייה;', 'אי-ספיקת לב']",True
929,"אסמ""ר",,['אתר סילוק מקומי'],True
930,"אס""ף",,['איתור סילוק פסולת'],True
931,"א""ע",,['ארוחת ערב'],True
932,"אע""ח",,['אימות עברית חוזר'],True
933,"אע""ל",,['אישור עלייה לקרקע'],True
934,"אע""ם",,['אישור עמידה מעל לתקן'],True
935,"א""פ",,"['ארכיון פרטי;', 'ארגזי פעולה;', '\'אבן פינה\' אף־אם FM ]ראו גם את""ד']",True
936,"אפ""ג",,['אזור פגיע'],True
937,"אפ""ז",,['אימות פרטי זהות'],True
938,"אפזצט""א",,"['אש, פול, זחל, צא, טווח, אש ']",True
939,"אפ""י",,"['אגף הפיקוח על הייצוא הביטחוני ]הגו: אפ""י; במשהב""ט']",True
940,"אפ""כ",,['אפסנאות כללית '],True
941,"אפכ""ל",,['אפסנאות כללית '],True
942,"אפ""ם",,"['אבטחת פעילות מבצעית;', 'אפנון מופע ;', ""אינטרנט, פניות ומידע ]'אינטרנט' בעברית: מרשתת"", 'אסמכתה פנימית של מצ""ח )= המשטרה הצבאית החוקרת']",True
943,"אפ""ן",,"['אין פרטים נוספים אפס', 'אפסנאי או אפסנאי ]ראו גם ;]MUN', 'אפסנאות;', 'אפסניה']",True
944,"אפס""ח",,['איפוס סחיפות'],True
945,"אפסנכ""ל",,['אפסניה כללית'],True
946,"אפס""ר",,['אפסנאות רפואית אפר אפריל'],True
947,"אפר""ן",,['אסון פתע רב־נפגעים ]ראו גם ]LSSD'],True
948,"אפ""ת",,['אחראי פיקוח תקציבי'],True
949,"א""צ",,"['אגד צליחה;', 'איש צוות;', 'ארכיון צה""ל;', 'ארוחת צוהריים']",True
950,"אצ""א",,"['איש צוות אוויר ;', 'איש צוות אחורי']",True
951,"אצ""ל",,"['הארגון הצבאי הלאומי  35 מו גבל אצ""ם - אש""ז']",True
952,"אצ""ם",,['הארכיון הציוני המרכזי'],True
953,"אצ""ק",,['איש צוות קרקע אק אקדח'],True
954,"אק""א",,['אזימוט קו־אפס '],True
955,"אק""ג",,"['אלקטרוקרדיוגרם ]קראו: א־ק־ג; בעברית: רל""ח - רשמת לב חשמלית אקטו אקטואליה']",True
956,"אק""ם",,"['אזימוט קו מטרות אר', 'ארגון או ארגוני;', ""ארגון 'ההגנה'""]",True
957,"א""ר",,"['אור ראשון;', 'אל־ראות;', 'אלף רגל;', 'איתות ראייה;', 'ארגון רפואה;', 'אש רצופה;', ""'אפיק רחב' ]תקשורת רחבת פס להעברת נתונים, חוזי ושמע""]",True
958,"ארב""ל",,"['ארגונים בין־לאומיים;', 'אמצעי ראשוני בלבד למרדימים']",True
959,"ארה""ב",,['ארצות הברית'],True
960,"ארו""ם",,['ארגון ומנהל'],True
961,"אר""ז",,"['אזימוט, רוחק, זוה""ר  ארט ארטילריה או ארטילרי ]ראו גם ]ARTY']",True
962,"ארי""ה",,['ארגונים יהודיים וממשל בין־לאומי'],True
963,"אר""ל",,"['אורות לילה;', 'אמצעי ראיית לילה  ארמ ארמייה או ארמיוני']",True
964,"אר""ם",,"['אדם רב־מעלה ;', 'אירוע רב־מטפלים;', 'אגד רבנות מטכ""לי']",True
965,"ארמ""ב",,['ארגון ומבצעים'],True
966,"אר""ן",,['אירוע רב־נפגעים'],True
967,"ארנ""ם",,"[""ארטילריה נגד־מטוסים ]ראו AAA וגם ]ADA אר־פי־ג'י ראו: RPG""]",True
968,"ארקו""ם",,['ארצות קומוניסטיות'],True
969,"אר""ש",,['ארטילריית שדה ]ראו גם ]FA'],True
970,"אש""ז",,"[""'אנקול' ו'שביל זהב' 36""]",True
971,"אש""ח",,['אלף שקלים חדשים'],True
972,"אש""ל",,"['אכילה, שתייה, לינה ']",True
973,"אש""ע",,['אלף שעות עבודה'],True
974,"אש""ף",,"['הארגון לשחרור פלסטין ]הגו: אש""ף; ראו גם ]PLO']",True
975,"אש""צ",,['איש צוות'],True
976,"אש""ת",,['אימוני שליטה ותעופה'],True
977,"אשת""פ",,['אי־שיתוף פעולה'],True
978,"אשת""ק",,['אתר שדה תעופה־קדמי'],True
979,"א""ת",,"['אגד תחזוקה ;', 'אישור תוכניות;', 'אזור התעשייה ]גם אזה""ת, אזוה""ת, אז""ת; הגו: אלף־תיו']",True
980,"את""א",,['איתור תקלות אוטומטי '],True
981,"אתא""ת",,"['אישור , תחקיר, אישור , תדריך']",True
982,"אתג""ז",,['אתר גזרתי '],True
